disease,year,age,country,country_name,cohort_size,cases,dalys,deaths
HepB,2000,0,RFP,Request for Proposal,4788460.708790707,63591.39904697686,3853.7512807232984,69.29964186895042
HepB,2001,0,RFP,Request for Proposal,4942007.606027572,65539.111058965,3970.52545441888,71.39408799194656
HepB,2002,0,RFP,Request for Proposal,5086189.934194548,67284.99852680558,4079.9055887501977,73.3495355904236
HepB,2003,0,RFP,Request for Proposal,5218897.271173282,68764.72878104124,4181.0912192414235,75.15245278514111
HepB,2004,0,RFP,Request for Proposal,5339079.746743789,70034.24418054767,4274.182114726526,76.80694951811084
HepB,2005,0,RFP,Request for Proposal,5473016.121226272,70908.21229446953,4433.36030955576,77.38592581578415
HepB,2006,0,RFP,Request for Proposal,5617835.15292754,70444.90501837176,4332.969645092308,75.62963221057467
HepB,2007,0,RFP,Request for Proposal,5760135.555064873,68629.05508651868,4141.339445791426,72.28352488189323
HepB,2008,0,RFP,Request for Proposal,5916565.0305921445,64812.86608090738,3908.4198514328086,68.22114735161031
HepB,2009,0,RFP,Request for Proposal,6067199.046707918,60299.38529099759,3630.869956999033,63.38016043413898
HepB,2010,0,RFP,Request for Proposal,6197851.433362038,55196.25375362352,3385.6587288572496,57.79506292445771
HepB,2011,0,RFP,Request for Proposal,6327734.088981325,54057.202695318156,3236.0499089971804,55.24131832087625
HepB,2012,0,RFP,Request for Proposal,6440453.359641933,53262.48055838108,3146.2523376494096,53.70588560462252
HepB,2013,0,RFP,Request for Proposal,6526715.274572163,52306.287552341324,3081.470684441559,52.5954009268558
HepB,2014,0,RFP,Request for Proposal,6614321.585949437,51657.646472711516,3016.4329443910474,51.48245114133995
HepB,2015,0,RFP,Request for Proposal,6706030.632076034,51092.270037561146,3000.3324625278833,50.574292876189155
HepB,2016,0,RFP,Request for Proposal,6809384.987458835,50338.54819463818,2915.0127261751804,49.13723471830364
HepB,2017,0,RFP,Request for Proposal,6924316.61812832,48965.55996115167,2766.585436996961,46.6394015240563
HepB,2018,0,RFP,Request for Proposal,7032891.139891386,44821.39499114113,2628.3660855584067,44.3123596258585
HepB,2019,0,RFP,Request for Proposal,7141230.5639983155,40810.74660201004,2505.6261402094096,42.24548973625982
HepB,2020,0,RFP,Request for Proposal,7249948.6464401595,39671.83248444124,2424.0960575532995,40.33958278048144
HepB,2021,0,RFP,Request for Proposal,7360591.55375082,38668.17542809406,2324.796130616314,38.68873785206278
HepB,2022,0,RFP,Request for Proposal,7457841.126671761,37147.426545661234,2228.6380392624533,37.08924964122814
HepB,2023,0,RFP,Request for Proposal,7548794.66708982,35665.46650915953,2130.50797652056,35.45698669308592
HepB,2024,0,RFP,Request for Proposal,7659783.060779297,34318.907352634844,2038.473304103913,33.927191459081754
HepB,2025,0,RFP,Request for Proposal,7762744.677946161,32870.95535416731,1985.0970788493526,32.38035199344058
HepB,2026,0,RFP,Request for Proposal,7853627.036996348,31421.691452936426,1889.2435924929068,30.817864354154594
HepB,2027,0,RFP,Request for Proposal,7949189.352364573,30026.27973221482,1797.172525895102,29.31720464890655
HepB,2028,0,RFP,Request for Proposal,8038521.824348099,28624.273335662187,1706.7328673555267,27.842875462004823
HepB,2029,0,RFP,Request for Proposal,8136456.54366174,27329.781503455477,1621.1673953984705,26.448273600478633
HepB,2030,0,RFP,Request for Proposal,8224998.28205265,25969.67344528672,1560.1320271564193,25.07418636717297
HepB,2031,0,RFP,Request for Proposal,8301559.10966072,24714.206987075802,1475.5224354341976,23.715210243595553
HepB,2032,0,RFP,Request for Proposal,8375534.028394776,23440.588156141628,1393.2655016712906,22.394089232406603
HepB,2033,0,RFP,Request for Proposal,8435463.15956811,22187.91561321102,1311.7725529912589,21.085100847343746
HepB,2034,0,RFP,Request for Proposal,8503050.429277122,21005.265417645373,1234.5594544471815,19.845160968596684
HepB,2035,0,RFP,Request for Proposal,8553420.936053734,19781.123172240863,1175.9405578398325,18.61817124475533
HepB,2036,0,RFP,Request for Proposal,8588956.763408998,18599.52345319429,1100.076125277413,17.417986477170846
HepB,2037,0,RFP,Request for Proposal,8640207.710082375,17525.753818254598,1029.7344717207618,16.30553267891619
